Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.6,2.8,0,6.2,0,0,2,0,0,3.6,0,3.1
2,3,11.6,0,0,0,0,3.2,0,0,0,0,0
3,11.8,4.6,1.6,0,0,0,0,4,0,5.2,0,0
4,0.2,0,3.4,0,0,6.2,0,0,0,0,0,0
5,15.8,0,0,0,19.2,2.4,0,0,13.4,0,15.6,2.8
6,4.2,0,0,6.4,18,0,0,0,0,0,0,0.2
7,1.4,2.4,0,0.4,13.4,0,0,0,0,0,0.2,0
8,5.2,0,0,11,0.2,0,0,1.6,0,0,9,9.6
9,0,0,0,0,0,7.8,0,0.4,0,0,0,9.4
10,0,0,0,0,0,0.2,9,0,0,0,0,28.6
11,0,0,0.6,0,0.2,5.2,31.2,0,0,10,20.4,19.6
12,0,0,0.8,0,0,0,3.2,0,0,4.4,12.4,2.6
13,0,8.4,4.2,0,1.2,0,0,0,0,3,0,0
14,0,12.4,22.4,0,0,0,0,0,12.6,7.4,1.2,0
15,1.6,0,24.8,0,0,0,1.4,0,6.4,7.2,0.8,0
16,0,7.8,0,0,0,2,0,0,9,0,0.2,3.4
17,0,6.2,2.6,0,0,5.2,1.82,0,0,0,0,0
18,0,0.6,0,0,0,0,0,0,0,0,0,0
19,0.6,3.8,50.6,0,0,2.6,0,0,3.6,0,1,3.4
20,0.6,1,42,0,0,24.2,0,0,0,0,0.2,0
21,0,0.6,87.8,0,0,17.8,0,0.2,0,0,12.6,0
22,0,0,24,0,0,4.8,0,0,3,2.2,12.2,0
23,0,0,43.6,0,0,0,0.8,0,0,0,1.4,14.4
24,0,42,16.4,0,5.4,0,0.2,29.2,0,2.2,0.4,18.4
25,0,6.4,0,0,5,0,0,48.8,0,2.2,5.2,0
26,0,1,9.2,0,0,0,0,0,1.6,0,29.8,0
27,0.4,0,0,0,0,0,0,0,1,0,15,3.4
28,14,0.6,0,0,0,0.4,0,0,0,0,2,13.4
29,5.8,,0,0,0,2.2,0,0,0,0,0,7
30,17.8,,3.8,0,0.2,32,0,0.2,3.4,0,0.2,1.8
31,0.8,,5.2,,0.2,,0,0,,0,,0
